t,n,e
103.724,494.210,34.565
103.924,496.975,35.009
104.132,499.850,35.473
104.340,502.728,35.937
104.540,505.496,36.386
104.748,508.377,36.855
104.956,511.257,37.325
105.156,514.026,37.776
105.364,516.906,38.244
105.572,519.786,38.711
105.772,522.555,39.161
105.980,525.438,39.629
106.180,528.213,40.079
106.388,531.103,40.549
106.596,533.994,41.023
106.796,536.774,41.480
107.004,539.664,41.958
107.212,542.553,42.436
107.412,545.331,42.895
107.620,548.220,43.374
107.828,551.110,43.853
108.028,553.891,44.311
108.236,556.784,44.791
108.436,559.568,45.258
108.644,562.464,45.748
108.852,565.363,46.237
109.052,568.155,46.708
109.260,571.062,47.204
109.468,573.970,47.704
109.668,576.766,48.186
109.876,579.675,48.687
110.084,582.584,49.186
110.284,585.381,49.667
110.492,588.288,50.170
110.700,591.193,50.673
110.900,593.986,51.159
111.108,596.889,51.668
111.308,599.680,52.161
111.516,602.582,52.674
111.724,605.485,53.188
111.924,608.279,53.681
112.132,611.183,54.195
112.340,614.085,54.710
112.540,616.873,55.205
112.748,619.774,55.722
112.956,622.674,56.238
113.156,625.461,56.736
113.364,628.360,57.256
113.572,631.258,57.779
113.772,634.044,58.283
113.980,636.942,58.808
114.180,639.728,59.313
114.388,642.626,59.837
114.596,645.528,60.364
114.796,648.321,60.869
115.004,651.226,61.394
115.212,654.132,61.922
115.412,656.929,62.432
115.620,659.841,62.965
115.828,662.753,63.497
116.028,665.555,64.011
116.236,668.472,64.546
116.436,671.279,65.061
116.644,674.199,65.597
116.852,677.118,66.137
117.052,679.924,66.658
117.260,682.838,67.202
117.468,685.750,67.746
117.668,688.549,68.271
117.876,691.462,68.820
118.084,694.376,69.373
118.284,697.180,69.909
118.492,700.096,70.471
118.700,703.013,71.035
118.900,705.815,71.578
119.108,708.730,72.145
119.308,711.534,72.691
119.516,714.452,73.261
119.724,717.370,73.832
119.924,720.176,74.386
120.132,723.095,74.964
120.340,726.016,75.544
120.540,728.826,76.100
120.748,731.750,76.677
120.956,734.675,77.252
121.156,737.487,77.806
121.364,740.406,78.384
121.572,743.323,78.962
121.772,746.124,79.523
121.980,749.036,80.109
122.180,751.839,80.678
122.388,754.755,81.274
122.596,757.669,81.871
122.796,760.472,82.444
123.004,763.387,83.038
123.212,766.302,83.632
123.412,769.107,84.205
123.620,772.026,84.802
123.828,774.943,85.401
124.028,777.746,85.978
124.236,780.663,86.580
124.436,783.466,87.159
124.644,786.381,87.760
124.852,789.296,88.361
125.052,792.102,88.938
125.260,795.022,89.539
125.468,797.942,90.142
125.668,800.748,90.724
125.876,803.664,91.330
126.084,806.583,91.938
126.284,809.391,92.523
126.492,812.314,93.133
126.700,815.237,93.744
126.900,818.048,94.333
127.108,820.972,94.946
127.308,823.784,95.538
127.516,826.708,96.157
127.724,829.635,96.778
127.924,832.451,97.375
128.132,835.377,97.996
128.340,838.299,98.618
128.548,841.219,99.244
128.756,844.136,99.872
128.964,847.055,100.501
129.172,849.975,101.131
129.372,852.786,101.736
129.580,855.712,102.366
129.788,858.641,102.994
129.996,861.573,103.623
130.204,864.504,104.251
130.412,867.432,104.881
130.620,870.356,105.510
130.828,873.279,106.137
131.036,876.204,106.765
131.244,879.131,107.399
131.452,882.058,108.054
131.660,884.978,108.760
131.860,887.765,109.531
132.068,890.630,110.464
132.276,893.448,111.551
132.484,896.213,112.798
132.692,898.924,114.197
132.900,901.581,115.739
133.108,904.186,117.417
133.316,906.737,119.225
133.524,909.224,121.171
133.732,911.633,123.267
133.940,913.943,125.528
134.148,916.127,127.967
134.348,918.081,130.489
134.556,919.933,133.302
134.764,921.565,136.312
134.972,922.931,139.515
135.180,923.981,142.892
135.388,924.664,146.421
135.596,924.926,150.060
135.804,924.719,153.749
136.012,924.010,157.408
136.220,922.788,160.946
136.428,921.069,164.274
136.636,918.901,167.312
136.836,916.468,169.902
137.044,913.666,172.222
137.252,910.683,174.172
137.460,907.611,175.790
137.668,904.521,177.136
137.876,901.459,178.277
138.084,898.445,179.279
138.292,895.486,180.188
138.500,892.578,181.033
138.708,889.710,181.826
138.916,886.866,182.567
