t,n,e
152.404,300.600,-0.025
152.604,300.597,-0.024
152.812,300.595,-0.023
153.020,300.594,-0.023
153.228,300.594,-0.022
153.436,300.595,-0.020
153.644,300.597,-0.018
153.852,300.600,-0.015
154.060,300.601,-0.015
154.268,300.600,-0.013
154.476,300.600,-0.013
154.684,300.600,-0.013
154.892,300.598,-0.015
155.092,300.595,-0.021
155.300,300.592,-0.031
