name,type,value,index,raw_float
SYS_CAL_TMIN,INT32,5,1224,7.006492321624085e-45
SYS_DM_BACKEND,INT32,0,1225,0.0
SYS_FAC_CAL_MODE,INT32,0,1226,0.0
SYS_HAS_BARO,INT32,1,1227,1.401298464324817e-45
SYS_HAS_GPS,INT32,1,1228,1.401298464324817e-45
SYS_HAS_MAG,INT32,1,1229,1.401298464324817e-45
SYS_HAS_NUM_ASPD,INT32,1,1230,1.401298464324817e-45
SYS_HAS_NUM_DIST,INT32,0,1231,0.0
SYS_HAS_NUM_GNSS,INT32,0,1232,0.0
SYS_HAS_NUM_OF,INT32,0,1233,0.0
SYS_HITL,INT32,0,1234,0.0
SYS_PARAM_VER,INT32,1,1235,1.401298464324817e-45
SYS_RGB_MAXBRT,REAL32,1.0,1236,1.0
SYS_STCK_EN,INT32,1,1237,1.401298464324817e-45
SYS_USB_AUTO,INT32,2,1238,2.802596928649634e-45
SYS_VEHICLE_RESP,REAL32,-0.4000000059604645,1239,-0.4000000059604645
TEL_BST_EN,INT32,0,1240,0.0
TEL_FRSKY_CONFIG,INT32,0,1241,0.0
TEL_HOTT_CONFIG,INT32,0,1242,0.0
THR_MDL_FAC,REAL32,0.0,1243,0.0
TRIG_MODE,INT32,0,1244,0.0
TRIM_PITCH,REAL32,0.0,1245,0.0
TRIM_ROLL,REAL32,0.0,1246,0.0
TRIM_YAW,REAL32,0.0,1247,0.0
UAVCAN_BITRATE,INT32,1000000,1248,1.401298464324817e-39
UAVCAN_EC_FAIL1,INT32,-1,1249,nan
UAVCAN_EC_FAIL10,INT32,-1,1250,nan
UAVCAN_EC_FAIL11,INT32,-1,1251,nan
UAVCAN_EC_FAIL12,INT32,-1,1252,nan
UAVCAN_EC_FAIL2,INT32,-1,1253,nan
UAVCAN_EC_FAIL3,INT32,-1,1254,nan
UAVCAN_EC_FAIL4,INT32,-1,1255,nan
UAVCAN_EC_FAIL5,INT32,-1,1256,nan
UAVCAN_EC_FAIL6,INT32,-1,1257,nan
